State,shopping centre,url,Coordinate,latitude,longitude
Queensland,Paradise Centre,"https://en.wikipedia.org/wiki/Paradise_Centre,_Surfers_Paradise","28°0′9.69″S,153°25′47.40″E",-28.0025,153.42972
Queensland,Robina Town Centre,https://en.wikipedia.org/wiki/Robina_Town_Centre,"28°04′35″S,153°23′07″E",-28.07639,153.38528
Queensland,Westfield Helensvale Town Centre,https://en.wikipedia.org/wiki/Westfield_Helensvale,"27°55′35″S,153°20′10″E",-27.92639,153.33611
Queensland,Grand Central Shopping Centre,"https://en.wikipedia.org/wiki/Grand_Central_Shopping_Centre,_Toowoomba","27°33′39″S,151°56′55″E",-27.56083,151.94861
Queensland,Kawana Shoppingworld,https://en.wikipedia.org/wiki/Kawana_Shoppingworld,"26°42′11″S,153°07′50.6″E",-26.70306,153.13056
Queensland,Noosa Civic,https://en.wikipedia.org/wiki/Noosa_Civic,"26°24′58″S,153°02′55.4″E",-26.41611,153.04861
Queensland,Sunshine Plaza,https://en.wikipedia.org/wiki/Sunshine_Plaza,"26°39′16″S,153°05′18″E",-26.65444,153.08833
Queensland,Parkhurst Town Centre,https://en.wikipedia.org/wiki/Parkhurst_Town_Centre,"23°18′17″S,150°30′57″E",-23.30472,150.51583
Queensland,Stockland Rockhampton,https://en.wikipedia.org/wiki/Stockland_Rockhampton,"23°21′20″S,150°31′20″E",-23.35556,150.52222
Queensland,Caneland Central,https://en.wikipedia.org/wiki/Caneland_Central,"21°08′19″S,149°10′41″E",-21.13861,149.17806
Queensland,Stockland Townsville,https://en.wikipedia.org/wiki/Stockland_Townsville,"19°17′56″S,146°45′48.5″E",-19.29889,146.76333
Queensland,Cairns Central,https://en.wikipedia.org/wiki/Cairns_Central,"16°55′30″S,145°46′19″E",-16.925,145.77194
South Australia,Adelaide Central Market,https://en.wikipedia.org/wiki/Adelaide_Central_Market,"34°55′47″S,138°35′51″E",-34.92972,138.5975
South Australia,Hutt Street,https://en.wikipedia.org/wiki/Hutt_Street,"34°55′34″S,138°36′43″E",-34.92611,138.61194
South Australia,Rundle Mall,https://en.wikipedia.org/wiki/Rundle_Mall,"34°55′22″S,138°36′07″E",-34.92278,138.60194
South Australia,Adelaide Arcade,https://en.wikipedia.org/wiki/Adelaide_Arcade,"34°55′25″S,138°36′14″E",-34.92361,138.60389
South Australia,Adelaide Central Plaza,https://en.wikipedia.org/wiki/Adelaide_Central_Plaza,"34°55′20″S,38°36′11″E",-34.92222,38.60306
South Australia,City Cross Arcade,https://en.wikipedia.org/wiki/City_Cross_Arcade,"34°55′27″S,138°36′05″E",-34.92417,138.60139
South Australia,Myer Centre,"https://en.wikipedia.org/wiki/Myer_Centre,_Adelaide","34°55′20″S,138°36′2″E",-34.92222,138.60056
South Australia,Burnside Village,https://en.wikipedia.org/wiki/Burnside_Village,"34°56′28″S,138°38′30″E",-34.94111,138.64167
South Australia,Castle Plaza,https://en.wikipedia.org/wiki/Castle_Plaza,"34°58′54″S,138°34′22″E",-34.98167,138.57278
South Australia,Centro Colonnades,https://en.wikipedia.org/wiki/Centro_Colonnades,"35°08′32″S,138°29′51″E",-35.14222,138.4975
South Australia,Elizabeth Shopping Centre,https://en.wikipedia.org/wiki/Elizabeth_Shopping_Centre,"34°43′06″S,138°40′07″E",-34.71833,138.66861
South Australia,Harbour Town,https://en.wikipedia.org/wiki/Harbour_Town,"27°55′55.18″S,153°23′19.40″E",-27.93194,153.38861
South Australia,Mitcham Square Shopping Centre,https://en.wikipedia.org/wiki/Mitcham_Square_Shopping_Centre,"34°58′31″S,138°36′39″E",-34.97528,138.61083
South Australia,"Port Adelaide Plaza, Port Adelaide",https://en.wikipedia.org/wiki/Port_Adelaide_Plaza,"34°50′51.9612″S,138°30′25.2468″E",-34.8475,138.50694
South Australia,Westfield Tea Tree Plaza,https://en.wikipedia.org/wiki/Westfield_Tea_Tree_Plaza,"34°50′S,138°42′E",-34.83333,138.7
Tasmania,Channel Court Shopping Centre,https://en.wikipedia.org/wiki/Channel_Court_Shopping_Centre,"42°58′34″S,147°18′32″E",-42.97611,147.30889
Tasmania,Eastlands Shopping Centre,https://en.wikipedia.org/wiki/Eastlands_Shopping_Centre,"42°51′59″S,147°22′06″E",-42.86639,147.36833
Tasmania,Northgate Shopping Centre,https://en.wikipedia.org/wiki/Northgate_Shopping_Centre,"42°49′55″S,147°16′25″E",-42.83194,147.27361
Tasmania,Shoreline Shopping Centre,https://en.wikipedia.org/wiki/Shoreline_Shopping_Centre,"42°52′48″S,147°24′22″E",-42.88,147.40611
Victoria,Collins Place,https://en.wikipedia.org/wiki/Collins_Place,"37°48′51″S,144°58′22″E",-37.81417,144.97278
Victoria,Emporium Melbourne,https://en.wikipedia.org/wiki/Emporium_Melbourne,"37°48′45″S,144°57′50″E",-37.8125,144.96389
